"city","population","total_billed_gallons","US_census_region","Climate_region","Annual.precipitation","Annual.max.temperature","Annual.vapor.pressure.deficit","Family.income.2010","GDP.per.capita.2016","Total.housing.units","Percent.single.family.houses","Percent.medium.density.houses","Percent.high.density.houses","Percent.housing.units.built.1990.or.later","Percent.housing.units.built.between.1950.1989","Percent.housing.units.built.before.1950","Percent.housing.units.built.earlier.to.1990","Median.rooms","Percent.impervious.area","Area.open.NLCD","Area.low.development.NLCD","Area.medium.development.NLCD","Area.high.development.NLCD","Service.area.sq.meters","Pop.density","Water.percap"
"Pueblo, Colorado",110652,689843083.333333,"West","Arid",25.95,20.575,21.625,43678,26746,48382,71.5,16.6,8.7,19.3,55.2,26.1,81.3,5.3,28.9,3032.1,8697.6,8900.7,3086.2,163790000,0.000675572379266134,6234.34807625107
"Rochester, Minnesota",113180,355450383.541667,"Midwest","Continental",71.70833333,12.45,9.133333333,76906,50045,47656,60.9,24.2,12.8,38.5,49.4,11.7,61.1,6.2,23.2,7539.8,7992.4,4984,2009.2,143769000,0.000787235078493973,3140.57592809389
"Rochester, New York",745000,1485753750,"Northeast","Continental",73.51666667,14.1,9.85,35986,50045,99032,44.8,41.7,13.1,4.8,30.4,63.5,93.9,5.2,44.3,3586.5,6703.1,7288.6,3506.4,96198500,0.00774440349901506,1994.30033557047
"Rock Springs, Wyoming",20671,119566603.198333,"West","Arid",19.48333333,14.025,15.25833333,78487,65239,10626,61.6,19.1,5.6,33.4,52.7,17.3,70,5.4,20.9,1471.2,1848,2086.4,444.6,50104700,0.000412556107510872,5784.26796953865
"Rockford, Illinois",147651,449844395,"Midwest","Continental",75.26666667,14.55,10.58333333,47981,37775,66321,61,30.6,7.7,14.2,53.9,30.8,84.7,5.4,35,6460,13693.9,8749.1,4126.5,169711000,0.000870014318459027,3046.67354098516
"Safford, Arizona",23748,88377941.6666667,"West","Arid",20.49166667,27.16666667,33.08333333,49725,41726,4036,71,14,4.8,34.6,57.3,12.7,70,5.5,6,2205,2873.9,912.5,212.3,131127000,0.000181106865862866,3721.48987984953
"Salina, Kansas",49157,166653583.333333,"Midwest","Continental",63.44166667,19.65,16.86666667,54491,50949,21183,74.2,19.9,2.7,18.3,58.2,23.8,82,5.7,0.6,7650.1,1193.9,222.7,57.6,708857000,6.93468499288291e-05,3390.23096066345
"Salt Lake City, Utah",343850,2050674849.66667,"West","Continental",39.84166667,17.45833333,18.26666667,56546,61176,83676,47.8,30.1,21.3,13.8,44.3,40.1,84.4,4.8,40.5,8257.1,21379.4,17405.5,11831.2,303115000,0.00113438793857117,5963.86462023169
"San Angelo, Texas",100700,292045083.333333,"South","Temperate",48.05833333,25.65833333,24.675,51862,39202,40849,70.1,15.5,11.1,21.2,67.6,11.5,79.1,5.2,29.9,7728,6108.4,4910.5,2843.1,111610000,0.000902248902428098,2900.14978483946
"San Diego, California",1374812,4466666666.66667,"West","Arid",23.425,23.05,16.20833333,75864,59581,533973,45.1,35.1,18.5,22.4,64.7,11.2,75.9,4.6,32.1,28231.5,30478.5,65001.8,22476.2,963353000,0.00142711134962989,3248.92906569529
"San Francisco, California",2670000,3419946502.5,"West","Temperate",56.225,18.175,9.758333333,85778,87536,390376,20,53.3,26.6,12.4,29.5,57.4,86.9,4.1,12.6,3301.1,3314.4,11122.7,11028.7,600592000,0.00444561366118763,1280.87883988764
"Santa Barbara, California",93881,236568775.666667,"West","Temperate",39.58333333,21.88333333,14.00833333,74597,50574,39012,47.9,39.3,11.9,10.3,60.4,27.9,88.3,4.4,23.3,3932.1,3330.4,2443.6,117.6,53022000,0.00177060465467165,2519.87916262787
"Santa Maria, California",104567,286522397.333333,"West","Temperate",29.76666667,20.95833333,13.00833333,50952,50574,28887,59.7,29.1,5.5,31.7,61.7,6.5,68.2,4.9,32.3,1812.9,3475,4027.9,407.4,53305000,0.0019616733889879,2740.08432233241
"Santa Rosa, California",175738,425430833.333333,"West","Temperate",66.75833333,21.75833333,15.08333333,70761,48051,67537,58.9,27.8,9.8,26.9,61.6,10.8,72.4,5,33.4,6935.7,6887.7,8492.3,1592,117901000,0.00149055563566043,2420.82437112823
"Sherman, Texas",40112,258905322.416667,"South","Temperate",89.83333333,23.30833333,18.05,48274,29956,16617,68.4,22.4,7,29.6,58.5,14.4,72.9,5.3,8,4924.1,3609,1913.1,1301.6,196502000,0.000204130237860174,6454.56029160019
"Sioux Falls, South Dakota",173300,579668708.666667,"Midwest","Continental",55.63333333,13.58333333,10.86666667,64353,62045,73214,56.9,24.7,14.7,44.3,42.5,13.5,56,5.7,26.1,11997.3,10160.8,8380.9,3895.6,203457000,0.000851777033967865,3344.88579726871
"Spearfish, South Dakota",11531,34832583.3333333,"Midwest","Continental",47.73333333,14.8,14.2,60327,52750,5413,43.9,35.8,11.5,43.2,44.7,13.3,58,4.8,10.4,1574.1,1466.3,529.9,136.7,42641700,0.00027041604814067,3020.77732489232
"Spokane, Washington",212078,1477295392.3,"West","Continental",34.45833333,15.44166667,14,51934,38681,97235,65.7,20,12.7,19.8,42.6,37.7,80.3,5.6,36.2,4881.6,13924.6,13300.7,2781.6,180014000,0.00117811947959603,6965.81159903432
"Springfield, Ohio",58902,184715608,"Midwest","Continental",84.825,16.375,11.01666667,41954,42121,28541,65.3,28,6.2,9.8,41.8,49.6,91.4,5.4,28.6,4549.5,5352.8,2630.5,1013.1,66692000,0.000883194386133269,3135.98193609725
"St. Peters, Missouri",47863,153966008.333333,"Midwest","Continental",89.23333333,18.675,13.61666667,81731,44837,23118,71.6,23.5,2.9,42.1,56.9,1.2,58.1,6.1,31.8,2274.8,3993.7,2959.3,1167,57445000,0.000833196971015754,3216.80647542639
